<built-in function id>,score
18783,1.0
18784,1.0
18785,1.0
18786,0.5
18787,0.5
18788,1.0
18789,1.0
18790,1.0
18791,1.0
18792,0.0
18793,0.0
18794,1.0
18795,1.0
18796,1.0
18797,1.0
18798,1.0
18799,1.0
18800,1.0
18801,1.0
18802,1.0
18803,0.5
18804,1.0
18805,0.5
18806,1.0
18807,1.0
18808,1.0
18809,0.5
18810,1.0
18811,1.0
18812,1.0
18813,1.0
18814,1.0
18815,0.5
18816,1.0
18817,1.0
18818,1.0
18819,1.0
18820,1.0
18821,1.0
18822,1.0
18823,0.0
18824,1.0
18825,1.0
18826,1.0
18827,1.0
18828,1.0
18829,1.0
18830,1.0
18831,0.5
18832,1.0
18833,1.0
18834,0.5
18835,0.0
18836,1.0
18837,1.0
18838,0.0
18839,1.0
18840,1.0
18841,1.0
18842,1.0
18843,1.0
18844,1.0
18845,0.5
18846,1.0
18847,1.0
18848,1.0
18849,1.0
18850,1.0
18851,1.0
18852,0.5
18853,1.0
18854,1.0
18855,0.5
18856,1.0
18857,0.0
18858,0.5
18859,1.0
18860,1.0
18861,1.0
18862,0.5
18863,1.0
18864,0.0
18865,1.0
18866,0.5
18867,1.0
18868,1.0
18869,1.0
18870,1.0
18871,0.5
18872,1.0
18873,0.5
18874,0.0
18875,1.0
18876,1.0
18877,1.0
18878,1.0
18879,1.0
18880,1.0
18881,1.0
18882,1.0
18883,1.0
18884,1.0
18885,1.0
18886,1.0
18887,0.5
18888,1.0
18889,1.0
18890,1.0
18891,0.5
18892,1.0
18893,0.5
18894,0.5
18895,0.0
18896,0.5
18897,1.0
18898,1.0
18899,1.0
18900,1.0
18901,1.0
18902,1.0
18903,1.0
18904,1.0
18905,1.0
18906,0.5
18907,1.0
18908,0.5
18909,1.0
18910,1.0
18911,1.0
18912,1.0
18913,1.0
18914,0.0
18915,0.5
18916,1.0
18917,1.0
18918,1.0
18919,1.0
18920,1.0
18921,0.5
18922,0.5
18923,1.0
18924,0.0
18925,1.0
18926,0.5
18927,1.0
18928,1.0
18929,1.0
18930,1.0
18931,1.0
18932,1.0
18933,1.0
18934,1.0
18935,0.0
18936,1.0
18937,1.0
18938,1.0
18939,1.0
18940,1.0
18941,0.5
18942,1.0
18943,0.5
18944,0.5
18945,0.5
18946,1.0
18947,1.0
18948,1.0
18949,1.0
18950,1.0
18951,0.5
18952,1.0
18953,1.0
18954,1.0
18955,1.0
18956,1.0
18957,0.5
18958,0.5
18959,1.0
18960,1.0
18961,1.0
18962,1.0
18963,1.0
18964,1.0
18965,1.0
18966,1.0
18967,0.0
18968,1.0
18969,1.0
18970,1.0
18971,0.5
18972,0.5
18973,1.0
18974,1.0
18975,1.0
18976,1.0
18977,0.5
18978,1.0
18979,1.0
18980,0.5
18981,1.0
18982,1.0
18983,1.0
18984,1.0
18985,1.0
18986,1.0
18987,0.0
18988,0.5
18989,1.0
18990,0.0
18991,1.0
18992,0.5
18993,1.0
18994,1.0
18995,0.0
18996,1.0
18997,1.0
18998,1.0
18999,1.0
19000,0.5
19001,1.0
19002,1.0
19003,1.0
19004,1.0
19005,1.0
19006,0.5
19007,0.5
19008,1.0
19009,0.5
19010,1.0
19011,1.0
19012,1.0
19013,0.5
19014,0.5
19015,1.0
19016,1.0
19017,1.0
19018,1.0
19019,1.0
19020,1.0
19021,0.5
19022,0.5
19023,1.0
19024,1.0
19025,1.0
19026,1.0
19027,1.0
19028,1.0
19029,1.0
19030,1.0
19031,0.0
19032,1.0
19033,1.0
19034,0.5
19035,1.0
19036,1.0
19037,1.0
19038,1.0
19039,1.0
19040,1.0
19041,0.5
19042,1.0
19043,1.0
19044,1.0
19045,1.0
19046,1.0
19047,1.0
19048,0.5
19049,1.0
19050,1.0
19051,1.0
19052,1.0
19053,1.0
19054,1.0
19055,1.0
19056,1.0
19057,1.0
19058,1.0
19059,1.0
19060,0.5
19061,1.0
19062,1.0
19063,0.5
19064,0.5
19065,1.0
19066,0.5
19067,0.5
19068,0.0
19069,1.0
19070,1.0
19071,1.0
19072,1.0
19073,1.0
19074,1.0
19075,1.0
19076,1.0
19077,1.0
19078,1.0
19079,1.0
19080,1.0
19081,1.0
19082,1.0
19083,1.0
19084,1.0
19085,1.0
19086,1.0
19087,0.0
19088,1.0
19089,1.0
19090,1.0
19091,1.0
19092,0.5
19093,0.5
19094,1.0
19095,1.0
19096,1.0
19097,1.0
19098,1.0
19099,0.0
19100,1.0
19101,0.5
19102,1.0
19103,1.0
19104,0.0
19105,1.0
19106,1.0
19107,1.0
19108,0.5
19109,1.0
19110,1.0
19111,1.0
19112,1.0
19113,1.0
19114,1.0
19115,1.0
19116,1.0
19117,1.0
19118,1.0
19119,1.0
19120,1.0
19121,1.0
19122,0.5
19123,0.5
19124,1.0
19125,1.0
19126,1.0
19127,1.0
19128,1.0
19129,1.0
19130,1.0
19131,1.0
19132,1.0
19133,1.0
19134,0.5
19135,1.0
19136,1.0
19137,1.0
19138,0.5
19139,0.5
19140,0.5
19141,0.0
19142,1.0
19143,1.0
19144,1.0
19145,1.0
19146,0.5
19147,1.0
19148,1.0
19149,1.0
19150,1.0
19151,1.0
19152,1.0
19153,1.0
19154,0.5
19155,1.0
19156,1.0
19157,1.0
19158,1.0
19159,1.0
19160,1.0
19161,1.0
19162,1.0
19163,0.0
19164,0.5
19165,0.0
19166,0.0
19167,1.0
19168,0.0
19169,1.0
19170,1.0
19171,1.0
19172,1.0
19173,1.0
19174,0.5
19175,1.0
19176,1.0
19177,1.0
19178,1.0
19179,0.0
19180,0.5
19181,0.5
19182,1.0
19183,0.5
19184,1.0
19185,1.0
19186,1.0
19187,1.0
19188,1.0
19189,1.0
19190,1.0
19191,0.5
19192,0.5
19193,1.0
19194,1.0
19195,0.5
19196,1.0
19197,1.0
19198,1.0
19199,1.0
19200,1.0
19201,0.5
19202,1.0
19203,1.0
19204,0.0
19205,1.0
19206,1.0
19207,0.5
19208,1.0
19209,1.0
19210,1.0
19211,1.0
19212,0.5
19213,1.0
19214,0.5
19215,0.5
19216,0.0
19217,1.0
19218,1.0
19219,1.0
19220,1.0
19221,1.0
19222,0.5
19223,1.0
19224,0.5
19225,1.0
19226,0.0
19227,1.0
19228,1.0
19229,0.5
19230,0.5
19231,0.0
19232,1.0
19233,1.0
19234,1.0
19235,1.0
19236,0.0
19237,1.0
19238,1.0
19239,1.0
19240,1.0
19241,1.0
19242,0.5
19243,0.5
19244,0.5
19245,1.0
19246,1.0
19247,1.0
19248,1.0
19249,1.0
19250,0.0
19251,1.0
19252,1.0
19253,1.0
19254,1.0
19255,1.0
19256,1.0
19257,1.0
19258,0.5
19259,1.0
19260,0.5
19261,1.0
19262,1.0
19263,1.0
19264,1.0
19265,0.5
19266,0.0
19267,0.5
19268,0.5
19269,0.5
19270,1.0
19271,0.0
19272,1.0
19273,1.0
19274,1.0
19275,1.0
19276,0.5
19277,0.5
19278,0.5
19279,1.0
19280,1.0
19281,1.0
19282,1.0
19283,1.0
19284,1.0
19285,1.0
19286,0.5
19287,0.5
19288,1.0
19289,1.0
19290,1.0
19291,1.0
19292,1.0
19293,1.0
19294,1.0
19295,1.0
19296,1.0
19297,1.0
19298,1.0
19299,1.0
19300,0.0
19301,1.0
19302,0.0
19303,0.5
19304,1.0
19305,1.0
19306,1.0
19307,1.0
19308,1.0
19309,1.0
19310,0.5
19311,1.0
19312,0.0
19313,0.5
19314,0.0
19315,1.0
19316,0.0
19317,0.5
19318,1.0
19319,1.0
19320,1.0
19321,1.0
19322,0.5
19323,1.0
19324,1.0
19325,0.5
19326,1.0
19327,1.0
19328,1.0
19329,1.0
19330,1.0
19331,1.0
19332,1.0
19333,1.0
19334,1.0
19335,1.0
19336,0.5
19337,0.5
19338,0.5
19339,1.0
19340,1.0
19341,1.0
19342,1.0
19343,0.0
19344,1.0
19345,0.5
19346,1.0
19347,1.0
19348,1.0
19349,1.0
19350,1.0
19351,0.5
19352,1.0
19353,0.5
19354,1.0
19355,1.0
19356,0.0
19357,0.5
19358,1.0
19359,1.0
19360,1.0
19361,1.0
19362,1.0
19363,0.5
19364,1.0
19365,1.0
19366,1.0
19367,1.0
19368,1.0
19369,1.0
19370,0.5
19371,0.0
19372,1.0
19373,1.0
19374,1.0
19375,1.0
19376,1.0
19377,1.0
19378,1.0
19379,1.0
19380,1.0
19381,1.0
19382,1.0
19383,1.0
19384,1.0
19385,1.0
19386,1.0
19387,0.0
19388,1.0
19389,1.0
19390,1.0
19391,0.0
19392,1.0
19393,0.5
19394,1.0
19395,0.5
19396,1.0
19397,1.0
19398,1.0
19399,0.5
19400,1.0
19401,1.0
19402,1.0
19403,0.0
19404,1.0
19405,0.5
19406,1.0
19407,1.0
19408,0.0
19409,1.0
19410,1.0
19411,0.5
19412,0.5
19413,1.0
19414,1.0
19415,1.0
19416,1.0
19417,1.0
19418,0.5
19419,1.0
19420,1.0
19421,0.5
19422,1.0
19423,1.0
19424,1.0
19425,1.0
19426,0.0
19427,1.0
19428,1.0
19429,1.0
19430,1.0
19431,1.0
19432,0.5
19433,1.0
19434,1.0
19435,1.0
19436,1.0
19437,1.0
19438,0.0
19439,1.0
19440,0.5
19441,0.0
19442,0.5
19443,1.0
19444,1.0
19445,1.0
19446,1.0
19447,0.0
19448,1.0
19449,1.0
19450,1.0
19451,0.5
19452,1.0
19453,1.0
19454,0.5
19455,1.0
19456,1.0
19457,1.0
19458,0.5
19459,0.5
19460,0.5
19461,1.0
19462,1.0
19463,1.0
19464,1.0
19465,0.0
19466,1.0
19467,0.5
19468,1.0
19469,1.0
19470,1.0
19471,1.0
19472,1.0
19473,1.0
19474,1.0
19475,1.0
19476,1.0
19477,1.0
19478,1.0
19479,1.0
19480,1.0
19481,0.5
19482,1.0
19483,1.0
19484,1.0
19485,0.5
19486,1.0
19487,0.5
19488,1.0
19489,1.0
19490,0.5
19491,0.0
19492,1.0
19493,1.0
19494,1.0
19495,1.0
19496,1.0
19497,1.0
19498,1.0
19499,1.0
19500,1.0
19501,0.0
19502,1.0
19503,1.0
19504,1.0
19505,1.0
19506,1.0
19507,1.0
19508,1.0
19509,1.0
19510,1.0
19511,1.0
19512,1.0
19513,0.5
19514,1.0
19515,0.5
19516,0.5
19517,1.0
19518,1.0
19519,1.0
19520,1.0
19521,1.0
19522,1.0
19523,1.0
19524,1.0
19525,1.0
19526,0.5
19527,1.0
19528,1.0
19529,1.0
19530,1.0
19531,0.5
19532,1.0
19533,0.0
19534,1.0
19535,0.0
19536,1.0
19537,0.0
19538,1.0
19539,1.0
19540,1.0
19541,0.5
19542,1.0
19543,1.0
19544,0.0
19545,1.0
19546,1.0
19547,1.0
19548,1.0
19549,0.5
19550,1.0
19551,1.0
19552,1.0
19553,1.0
19554,0.5
19555,0.5
19556,0.5
19557,1.0
19558,1.0
19559,0.0
19560,1.0
19561,1.0
19562,0.0
19563,0.0
19564,0.5
19565,1.0
19566,1.0
19567,0.0
19568,1.0
19569,1.0
19570,1.0
19571,1.0
19572,0.5
19573,1.0
19574,1.0
19575,1.0
19576,1.0
19577,1.0
19578,1.0
19579,1.0
19580,0.5
19581,0.5
19582,0.0
19583,0.5
19584,0.5
19585,0.0
19586,0.5
19587,1.0
19588,1.0
19589,0.5
19590,1.0
19591,1.0
19592,0.0
19593,1.0
19594,1.0
19595,1.0
19596,1.0
19597,1.0
19598,1.0
19599,0.5
19600,0.5
19601,1.0
19602,1.0
19603,1.0
19604,1.0
19605,1.0
19606,1.0
19607,0.0
19608,0.5
19609,1.0
19610,1.0
19611,1.0
19612,1.0
19613,0.0
19614,1.0
19615,0.5
19616,0.5
19617,1.0
19618,0.5
19619,1.0
19620,1.0
19621,1.0
19622,1.0
19623,1.0
19624,1.0
19625,1.0
19626,1.0
19627,1.0
19628,1.0
19629,1.0
19630,1.0
19631,1.0
19632,1.0
19633,1.0
19634,1.0
19635,1.0
19636,1.0
19637,1.0
19638,0.5
19639,1.0
19640,1.0
19641,1.0
19642,1.0
19643,1.0
19644,0.0
19645,1.0
19646,0.5
19647,1.0
19648,1.0
19649,1.0
19650,0.5
19651,1.0
19652,1.0
19653,1.0
19654,0.5
19655,1.0
19656,0.5
19657,0.5
19658,0.5
19659,1.0
19660,1.0
19661,1.0
19662,1.0
19663,1.0
19664,1.0
19665,1.0
19666,0.0
19667,1.0
19668,0.5
19669,1.0
19670,1.0
19671,1.0
19672,1.0
19673,1.0
19674,1.0
19675,1.0
19676,1.0
19677,0.5
19678,1.0
19679,0.0
19680,1.0
19681,1.0
19682,0.5
19683,1.0
19684,1.0
19685,1.0
19686,1.0
19687,1.0
19688,1.0
19689,0.5
19690,1.0
19691,1.0
19692,1.0
19693,1.0
19694,0.5
19695,0.0
19696,0.5
19697,1.0
19698,1.0
19699,1.0
19700,0.0
19701,1.0
19702,0.5
19703,1.0
19704,1.0
19705,1.0
19706,1.0
19707,0.0
19708,1.0
19709,1.0
19710,1.0
19711,0.0
19712,1.0
19713,1.0
19714,1.0
19715,1.0
19716,1.0
19717,1.0
19718,1.0
19719,1.0
19720,1.0
19721,0.5
19722,1.0
19723,1.0
19724,1.0
19725,1.0
19726,1.0
19727,1.0
19728,1.0
19729,1.0
19730,0.5
19731,1.0
19732,1.0
19733,1.0
19734,1.0
19735,1.0
19736,1.0
19737,0.0
19738,1.0
19739,0.5
19740,1.0
19741,0.0
19742,0.0
19743,1.0
19744,1.0
19745,1.0
19746,0.0
19747,0.5
19748,0.5
19749,1.0
19750,1.0
19751,1.0
19752,1.0
19753,1.0
19754,1.0
19755,1.0
19756,1.0
19757,1.0
19758,1.0
19759,1.0
19760,1.0
19761,1.0
19762,1.0
19763,1.0
19764,1.0
19765,1.0
19766,1.0
19767,1.0
19768,1.0
19769,1.0
19770,0.0
19771,1.0
19772,0.5
19773,0.0
19774,1.0
19775,1.0
19776,1.0
19777,1.0
19778,1.0
19779,0.5
19780,1.0
19781,1.0
19782,1.0
19783,0.0
19784,0.5
19785,1.0
19786,1.0
19787,0.5
19788,1.0
19789,0.5
19790,0.0
19791,1.0
19792,1.0
19793,0.5
19794,1.0
19795,0.5
19796,0.5
19797,1.0
19798,1.0
19799,0.5
19800,1.0
19801,1.0
19802,1.0
19803,1.0
19804,1.0
19805,1.0
19806,1.0
19807,1.0
19808,1.0
19809,1.0
19810,1.0
19811,1.0
19812,1.0
19813,1.0
19814,1.0
19815,1.0
19816,1.0
19817,1.0
19818,1.0
19819,1.0
19820,0.5
19821,0.5
19822,1.0
19823,1.0
19824,1.0
19825,1.0
19826,0.5
19827,1.0
19828,1.0
19829,1.0
19830,0.5
19831,1.0
19832,1.0
19833,1.0
19834,1.0
19835,1.0
19836,1.0
19837,1.0
19838,1.0
19839,0.5
19840,1.0
19841,1.0
19842,1.0
19843,1.0
19844,0.5
19845,1.0
19846,1.0
19847,1.0
19848,1.0
19849,1.0
19850,1.0
19851,0.5
19852,1.0
19853,1.0
19854,1.0
19855,1.0
19856,1.0
19857,0.5
19858,0.0
19859,1.0
19860,0.5
19861,1.0
19862,1.0
19863,1.0
19864,0.5
19865,0.5
19866,0.0
19867,1.0
19868,1.0
19869,1.0
19870,1.0
19871,1.0
19872,1.0
19873,1.0
19874,0.0
19875,1.0
19876,1.0
19877,1.0
19878,1.0
19879,0.5
19880,1.0
19881,1.0
19882,1.0
19883,1.0
19884,1.0
19885,0.0
19886,1.0
19887,1.0
19888,1.0
19889,1.0
19890,1.0
19891,1.0
19892,0.5
19893,0.5
19894,1.0
19895,1.0
19896,0.5
19897,1.0
19898,1.0
19899,1.0
19900,1.0
19901,0.5
19902,1.0
19903,1.0
19904,0.0
19905,1.0
19906,0.0
19907,1.0
19908,1.0
19909,1.0
19910,1.0
19911,1.0
19912,1.0
19913,1.0
19914,1.0
19915,1.0
19916,1.0
19917,0.5
19918,1.0
19919,1.0
19920,1.0
19921,1.0
19922,1.0
19923,0.5
19924,1.0
19925,1.0
19926,1.0
19927,0.0
19928,1.0
19929,1.0
19930,1.0
19931,1.0
19932,1.0
19933,1.0
19934,0.0
19935,1.0
19936,1.0
19937,1.0
19938,0.0
19939,1.0
19940,1.0
19941,1.0
19942,1.0
19943,0.5
19944,1.0
19945,0.0
19946,1.0
19947,1.0
19948,1.0
19949,0.5
19950,1.0
19951,0.0
19952,1.0
19953,0.5
19954,1.0
19955,1.0
19956,0.5
19957,0.5
19958,1.0
19959,1.0
19960,0.0
19961,1.0
19962,1.0
19963,0.0
19964,0.5
19965,0.5
19966,1.0
19967,1.0
19968,1.0
19969,1.0
19970,1.0
19971,1.0
19972,0.5
19973,0.0
19974,0.5
19975,0.0
19976,0.0
19977,1.0
19978,1.0
19979,1.0
19980,1.0
19981,1.0
19982,1.0
19983,0.5
19984,1.0
19985,0.5
19986,0.0
19987,0.5
19988,1.0
19989,1.0
19990,0.0
19991,1.0
19992,1.0
19993,1.0
19994,1.0
19995,1.0
19996,0.5
19997,0.5
19998,1.0
19999,1.0
20000,0.5
20001,1.0
20002,0.0
20003,0.5
20004,0.0
20005,0.5
20006,0.5
20007,1.0
20008,1.0
20009,1.0
20010,1.0
20011,1.0
20012,1.0
20013,1.0
20014,1.0
20015,0.5
20016,1.0
20017,0.5
20018,1.0
20019,1.0
20020,1.0
20021,1.0
20022,1.0
20023,0.5
20024,1.0
20025,1.0
20026,1.0
20027,1.0
20028,1.0
20029,1.0
20030,1.0
20031,1.0
20032,1.0
20033,1.0
20034,1.0
20035,1.0
20036,1.0
20037,1.0
20038,1.0
20039,1.0
20040,0.5
20041,1.0
20042,1.0
20043,0.5
20044,1.0
20045,1.0
20046,1.0
20047,1.0
20048,1.0
20049,1.0
20050,1.0
20051,1.0
20052,0.0
20053,1.0
20054,1.0
20055,1.0
20056,1.0
20057,1.0
20058,1.0
20059,1.0
20060,1.0
20061,1.0
20062,1.0
20063,1.0
20064,1.0
20065,1.0
20066,1.0
20067,0.5
20068,1.0
20069,1.0
20070,1.0
20071,1.0
20072,1.0
20073,1.0
20074,1.0
20075,0.5
20076,1.0
20077,1.0
20078,1.0
20079,0.0
20080,1.0
20081,1.0
20082,1.0
20083,0.5
20084,1.0
20085,1.0
20086,1.0
20087,1.0
20088,1.0
20089,1.0
20090,0.5
20091,1.0
20092,1.0
20093,1.0
20094,0.5
20095,1.0
20096,1.0
20097,1.0
20098,1.0
20099,1.0
20100,1.0
20101,1.0
20102,1.0
20103,1.0
20104,1.0
20105,0.0
20106,1.0
20107,1.0
20108,1.0
20109,1.0
20110,1.0
20111,1.0
20112,0.5
20113,1.0
20114,0.5
20115,1.0
20116,0.5
20117,1.0
20118,1.0
20119,1.0
20120,1.0
20121,1.0
20122,1.0
20123,0.5
20124,1.0
20125,0.5
20126,0.5
20127,1.0
20128,1.0
20129,0.0
20130,1.0
20131,1.0
20132,1.0
20133,1.0
20134,1.0
20135,1.0
20136,1.0
20137,1.0
20138,0.5
